-------------------------
PID Controller Parameters:
Position PID: P: 0.5, I: 0, D: 3
Orientation PID: P: 0.5, I: 0, D: 3
Linear Velocity PID: P: 1, I: 0, D: 1
Angular Velocity PID: P: 1, I: 0, D: 0
-------------------------
[2025-03-26_22-23-02.710] Received Bspline message - pos_pts size: 26, yaw_pts size: 74, order=3
----- Control Points -----
Point[0]: time = 0, pos = (1.77995e-05, 0, 0), vel = (1.29394e-05, 0, 0), yaw = 0, yaw_dot = 0
Point[1]: time = 0.1, pos = (2.20547e-05, 0, 0), vel = (0.000101603, 0, 0), yaw = 0, yaw_dot = 0
Point[2]: time = 0.2, pos = (4.40081e-05, 0, 0), vel = (0.000366906, 0, 0), yaw = 0, yaw_dot = 0
Point[3]: time = 0.3, pos = (0.000101324, 0, 0), vel = (0.000808847, 0, 0), yaw = 0, yaw_dot = 0
Point[4]: time = 0.4, pos = (0.000211665, 0, 0), vel = (0.00142743, 0, 0), yaw = 0, yaw_dot = 0
Point[5]: time = 0.5, pos = (0.000392697, 0, 0), vel = (0.00222265, 0, 0), yaw = 0, yaw_dot = 0
Point[6]: time = 0.6, pos = (0.000662083, 0, 0), vel = (0.0031945, 0, 0), yaw = 0, yaw_dot = 0
Point[7]: time = 0.7, pos = (0.00103749, 0, 0), vel = (0.004343, 0, 0), yaw = 0, yaw_dot = 0
Point[8]: time = 0.8, pos = (0.00153657, 0, 0), vel = (0.00566814, 0, 0), yaw = 0, yaw_dot = 0
Point[9]: time = 0.9, pos = (0.002177, 0, 0), vel = (0.00716991, 0, 0), yaw = 0, yaw_dot = 0
Point[10]: time = 1, pos = (0.00297607, 0, 0), vel = (0.00883397, 0, 0), yaw = 0, yaw_dot = 0
Point[11]: time = 1.1, pos = (0.00394813, 0, 0), vel = (0.0106289, 0, 0), yaw = 0, yaw_dot = 0
Point[12]: time = 1.2, pos = (0.00510618, 0, 0), vel = (0.0125537, 0, 0), yaw = 0, yaw_dot = 0
Point[13]: time = 1.3, pos = (0.00646319, 0, 0), vel = (0.0146082, 0, 0), yaw = 0, yaw_dot = 0
Point[14]: time = 1.4, pos = (0.00803214, 0, 0), vel = (0.0167925, 0, 0), yaw = 0, yaw_dot = 0
Point[15]: time = 1.5, pos = (0.009826, 0, 0), vel = (0.0191065, 0, 0), yaw = 0, yaw_dot = 0
Point[16]: time = 1.6, pos = (0.0118578, 0, 0), vel = (0.0215504, 0, 0), yaw = 0, yaw_dot = 0
Point[17]: time = 1.7, pos = (0.0141404, 0, 0), vel = (0.024124, 0, 0), yaw = 0, yaw_dot = 0
Point[18]: time = 1.8, pos = (0.0166869, 0, 0), vel = (0.0268274, 0, 0), yaw = 0, yaw_dot = 0
Point[19]: time = 1.9, pos = (0.0195101, 0, 0), vel = (0.0296562, 0, 0), yaw = 0, yaw_dot = 0
Point[20]: time = 2, pos = (0.0226216, 0, 0), vel = (0.0325896, 0, 0), yaw = 0, yaw_dot = 0
Point[21]: time = 2.1, pos = (0.0260315, 0, 0), vel = (0.0356252, 0, 0), yaw = 0, yaw_dot = 0
Point[22]: time = 2.2, pos = (0.02975, 0, 0), vel = (0.0387628, 0, 0), yaw = 0, yaw_dot = 0
Point[23]: time = 2.3, pos = (0.0337874, 0, 0), vel = (0.0420025, 0, 0), yaw = 0, yaw_dot = 0
Point[24]: time = 2.4, pos = (0.0381539, 0, 0), vel = (0.0453442, 0, 0), yaw = 0, yaw_dot = 0
Point[25]: time = 2.5, pos = (0.0428597, 0, 0), vel = (0.048788, 0, 0), yaw = 0, yaw_dot = 0
Point[26]: time = 2.6, pos = (0.0479149, 0, 0), vel = (0.0523339, 0, 0), yaw = 0, yaw_dot = 0
Point[27]: time = 2.7, pos = (0.0533299, 0, 0), vel = (0.0559819, 0, 0), yaw = 0, yaw_dot = 0
Point[28]: time = 2.8, pos = (0.0591147, 0, 0), vel = (0.05973, 0, 0), yaw = 0, yaw_dot = 0
Point[29]: time = 2.9, pos = (0.0652783, 0, 0), vel = (0.0635537, 0, 0), yaw = 0, yaw_dot = 0
Point[30]: time = 3, pos = (0.0718277, 0, 0), vel = (0.067446, 0, 0), yaw = 0, yaw_dot = 0
Point[31]: time = 3.1, pos = (0.0787698, 0, 0), vel = (0.071407, 0, 0), yaw = 0, yaw_dot = 0
Point[32]: time = 3.2, pos = (0.0861114, 0, 0), vel = (0.0754365, 0, 0), yaw = 0, yaw_dot = 0
Point[33]: time = 3.3, pos = (0.0938594, 0, 0), vel = (0.0795346, 0, 0), yaw = 0, yaw_dot = 0
Point[34]: time = 3.4, pos = (0.102021, 0, 0), vel = (0.0837013, 0, 0), yaw = 0, yaw_dot = 0
Point[35]: time = 3.5, pos = (0.110602, 0, 0), vel = (0.0879366, 0, 0), yaw = 0, yaw_dot = 0
Point[36]: time = 3.6, pos = (0.11961, 0, 0), vel = (0.0922405, 0, 0), yaw = 0, yaw_dot = 0
Point[37]: time = 3.7, pos = (0.129052, 0, 0), vel = (0.0966128, 0, 0), yaw = 0, yaw_dot = 0
Point[38]: time = 3.8, pos = (0.138934, 0, 0), vel = (0.101037, 0, 0), yaw = 0, yaw_dot = 0
Point[39]: time = 3.9, pos = (0.149261, 0, 0), vel = (0.105504, 0, 0), yaw = 0, yaw_dot = 0
Point[40]: time = 4, pos = (0.160037, 0, 0), vel = (0.110014, 0, 0), yaw = 0, yaw_dot = 0
Point[41]: time = 4.1, pos = (0.171265, 0, 0), vel = (0.114565, 0, 0), yaw = 0, yaw_dot = 0
Point[42]: time = 4.2, pos = (0.182951, 0, 0), vel = (0.11916, 0, 0), yaw = 0, yaw_dot = 0
Point[43]: time = 4.3, pos = (0.195099, 0, 0), vel = (0.123796, 0, 0), yaw = 0, yaw_dot = 0
Point[44]: time = 4.4, pos = (0.207712, 0, 0), vel = (0.128475, 0, 0), yaw = 0, yaw_dot = 0
Point[45]: time = 4.5, pos = (0.220795, 0, 0), vel = (0.133196, 0, 0), yaw = 0, yaw_dot = 0
Point[46]: time = 4.6, pos = (0.234353, 0, 0), vel = (0.13796, 0, 0), yaw = 0, yaw_dot = 0
Point[47]: time = 4.7, pos = (0.248388, 0, 0), vel = (0.142756, 0, 0), yaw = 0, yaw_dot = 0
Point[48]: time = 4.8, pos = (0.262904, 0, 0), vel = (0.14757, 0, 0), yaw = 0, yaw_dot = 0
Point[49]: time = 4.9, pos = (0.277903, 0, 0), vel = (0.152402, 0, 0), yaw = 0, yaw_dot = 0
Point[50]: time = 5, pos = (0.293385, 0, 0), vel = (0.157252, 0, 0), yaw = 0, yaw_dot = 0
Point[51]: time = 5.1, pos = (0.309354, 0, 0), vel = (0.162119, 0, 0), yaw = 0, yaw_dot = 0
Point[52]: time = 5.2, pos = (0.32581, 0, 0), vel = (0.167005, 0, 0), yaw = 0, yaw_dot = 0
Point[53]: time = 5.3, pos = (0.342755, 0, 0), vel = (0.171908, 0, 0), yaw = 0, yaw_dot = 0
Point[54]: time = 5.4, pos = (0.360192, 0, 0), vel = (0.176829, 0, 0), yaw = 0, yaw_dot = 0
Point[55]: time = 5.5, pos = (0.378122, 0, 0), vel = (0.181769, 0, 0), yaw = 0, yaw_dot = 0
Point[56]: time = 5.6, pos = (0.396546, 0, 0), vel = (0.186721, 0, 0), yaw = 0, yaw_dot = 0
Point[57]: time = 5.7, pos = (0.415466, 0, 0), vel = (0.191671, 0, 0), yaw = 0, yaw_dot = 0
Point[58]: time = 5.8, pos = (0.43488, 0, 0), vel = (0.196618, 0, 0), yaw = 0, yaw_dot = 0
Point[59]: time = 5.9, pos = (0.454789, 0, 0), vel = (0.201563, 0, 0), yaw = 0, yaw_dot = 0
Point[60]: time = 6, pos = (0.475193, 0, 0), vel = (0.206505, 0, 0), yaw = 0, yaw_dot = 0
Point[61]: time = 6.1, pos = (0.49609, 0, 0), vel = (0.211444, 0, 0), yaw = 0, yaw_dot = 0
Point[62]: time = 6.2, pos = (0.517482, 0, 0), vel = (0.21638, 0, 0), yaw = 0, yaw_dot = 0
Point[63]: time = 6.3, pos = (0.539366, 0, 0), vel = (0.221313, 0, 0), yaw = 0, yaw_dot = 0
Point[64]: time = 6.4, pos = (0.561744, 0, 0), vel = (0.226244, 0, 0), yaw = 0, yaw_dot = 0
Point[65]: time = 6.5, pos = (0.584615, 0, 0), vel = (0.231169, 0, 0), yaw = 0, yaw_dot = 0
Point[66]: time = 6.6, pos = (0.607977, 0, 0), vel = (0.236077, 0, 0), yaw = 0, yaw_dot = 0
Point[67]: time = 6.7, pos = (0.631829, 0, 0), vel = (0.240964, 0, 0), yaw = 0, yaw_dot = 0
Point[68]: time = 6.8, pos = (0.656169, 0, 0), vel = (0.24583, 0, 0), yaw = 0, yaw_dot = 0
Point[69]: time = 6.9, pos = (0.680995, 0, 0), vel = (0.250676, 0, 0), yaw = 0, yaw_dot = 0
Point[70]: time = 7, pos = (0.706304, 0, 0), vel = (0.255502, 0, 0), yaw = 0, yaw_dot = 0
Point[71]: time = 7.1, pos = (0.732094, 0, 0), vel = (0.260307, 0, 0), yaw = 0, yaw_dot = 0
Point[72]: time = 7.2, pos = (0.758364, 0, 0), vel = (0.265091, 0, 0), yaw = 0, yaw_dot = 0
Point[73]: time = 7.3, pos = (0.785112, 0, 0), vel = (0.269855, 0, 0), yaw = 0, yaw_dot = 0
Point[74]: time = 7.4, pos = (0.812335, 0, 0), vel = (0.274598, 0, 0), yaw = 0, yaw_dot = 0
Point[75]: time = 7.5, pos = (0.840031, 0, 0), vel = (0.27931, 0, 0), yaw = 0, yaw_dot = 0
Point[76]: time = 7.6, pos = (0.868196, 0, 0), vel = (0.283987, 0, 0), yaw = 0, yaw_dot = 0
Point[77]: time = 7.7, pos = (0.896827, 0, 0), vel = (0.288629, 0, 0), yaw = 0, yaw_dot = 0
Point[78]: time = 7.8, pos = (0.92592, 0, 0), vel = (0.293237, 0, 0), yaw = 0, yaw_dot = 0
Point[79]: time = 7.9, pos = (0.955473, 0, 0), vel = (0.297809, 0, 0), yaw = 0, yaw_dot = 0
Point[80]: time = 8, pos = (0.985481, 0, 0), vel = (0.302347, 0, 0), yaw = 0, yaw_dot = 0
Point[81]: time = 8.1, pos = (1.01594, 0, 0), vel = (0.30685, 0, 0), yaw = 0, yaw_dot = 0
Point[82]: time = 8.2, pos = (1.04685, 0, 0), vel = (0.311317, 0, 0), yaw = 0, yaw_dot = 0
Point[83]: time = 8.3, pos = (1.0782, 0, 0), vel = (0.31575, 0, 0), yaw = 0, yaw_dot = 0
Point[84]: time = 8.4, pos = (1.11, 0, 0), vel = (0.320142, 0, 0), yaw = 0, yaw_dot = 0
Point[85]: time = 8.5, pos = (1.14223, 0, 0), vel = (0.324488, 0, 0), yaw = 0, yaw_dot = 0
Point[86]: time = 8.6, pos = (1.17489, 0, 0), vel = (0.328788, 0, 0), yaw = 0, yaw_dot = 0
Point[87]: time = 8.7, pos = (1.20799, 0, 0), vel = (0.333042, 0, 0), yaw = 0, yaw_dot = 0
Point[88]: time = 8.8, pos = (1.2415, 0, 0), vel = (0.337249, 0, 0), yaw = 0, yaw_dot = 0
Point[89]: time = 8.9, pos = (1.27543, 0, 0), vel = (0.341411, 0, 0), yaw = 0, yaw_dot = 0
Point[90]: time = 9, pos = (1.30978, 0, 0), vel = (0.345526, 0, 0), yaw = 0, yaw_dot = 0
Point[91]: time = 9.1, pos = (1.34454, 0, 0), vel = (0.349596, 0, 0), yaw = 0, yaw_dot = 0
Point[92]: time = 9.2, pos = (1.3797, 0, 0), vel = (0.353619, 0, 0), yaw = 0, yaw_dot = 0
Point[93]: time = 9.3, pos = (1.41526, 0, 0), vel = (0.357594, 0, 0), yaw = 0, yaw_dot = 0
Point[94]: time = 9.4, pos = (1.45122, 0, 0), vel = (0.361515, 0, 0), yaw = 0, yaw_dot = 0
Point[95]: time = 9.5, pos = (1.48756, 0, 0), vel = (0.365382, 0, 0), yaw = 0, yaw_dot = 0
Point[96]: time = 9.6, pos = (1.52429, 0, 0), vel = (0.369194, 0, 0), yaw = 0, yaw_dot = 0
Point[97]: time = 9.7, pos = (1.5614, 0, 0), vel = (0.372953, 0, 0), yaw = 0, yaw_dot = 0
Point[98]: time = 9.8, pos = (1.59888, 0, 0), vel = (0.376658, 0, 0), yaw = 0, yaw_dot = 0
Point[99]: time = 9.9, pos = (1.63673, 0, 0), vel = (0.380309, 0, 0), yaw = 0, yaw_dot = 0
Point[100]: time = 10, pos = (1.67494, 0, 0), vel = (0.383906, 0, 0), yaw = 0, yaw_dot = 0
Point[101]: time = 10.1, pos = (1.71351, 0, 0), vel = (0.387449, 0, 0), yaw = 0, yaw_dot = 0
Point[102]: time = 10.2, pos = (1.75243, 0, 0), vel = (0.390936, 0, 0), yaw = 0, yaw_dot = 0
Point[103]: time = 10.3, pos = (1.79169, 0, 0), vel = (0.394366, 0, 0), yaw = 0, yaw_dot = 0
Point[104]: time = 10.4, pos = (1.8313, 0, 0), vel = (0.397737, 0, 0), yaw = 0, yaw_dot = 0
Point[105]: time = 10.5, pos = (1.87124, 0, 0), vel = (0.401049, 0, 0), yaw = 0, yaw_dot = 0
